county,T,loss
12001.0,0,"[94802.41980942513, 4249.075171070972, 21063.064723769552, 228266.3386569219, 96458.9564601275, 238385.20819611617, 189022.63300004954, 4546.546691581535, 908.7748552270062, 71140.49360279534, 72018.71191931675, 6822.6564647678115, 234616.13204285546, 64482.74272264178, 8333.868004806338, 60944.18886075914, 34238.006789264095, 21987.138453861826, 226103.20455399554, 382785.8312720765, 87947.97894963309, 81229.89958493112, 93524.38275078998, 95781.28759664494, 3737.7089070338925, 5351.2753205360195, 8820.30116749514, 32964.8964765696, 44426.81898728865, 6873.634048868151]"
12001.0,1,"[108395.42912979773, 4.0749500270092075e-05, 64401.86698900197, 51055.60712899074, 297632.22209340293, 43715.45066796349, 15607.128569385091, 14441.837184432268, 76142.51317149193, 41608.428418153315, 32245.10824071384, 193727.2501237321, 295.816528112273, 21907.813380163494, 2494.069927942646, 95088.69653084804, 61512.77812389363, 2762.848808564359, 221857.43351703504, 36140.30380476125, 29256.312232600925, 189834.5295160196, 71527.08299392725, 151398.71463785422, 20649.48984735995, 15.597593255262014, 28.902474740311455, 15489.874753565002, 16043.143825175168, 56305.06099673784]"
12001.0,2,"[67080.60163709935, 61493.10541791565, 71379.04683099256, 70721.77714665294, 151.14466620038667, 23000.688459020108, 276.3768952285363, 210364.2679083202, 19608.040847361142, 556.4305624330599, 4253.887234013067, 56059.456559935425, 5068.054601764009, 37443.374617596695, 137.67177615767594, 3691.2802158076674, 74801.72199173356, 80065.5117329818, 8267.242644593407, 21035.57766367364, 915.5542659129444, 6518.781053957641, 6214.047074275679, 157513.75399957757, 66265.1967692641, 21349.661686617528, 13644.077509558385, 16236.31882535408, 25893.95934842747, 80498.10869514731]"
12001.0,3,"[72.31557628666376, 113537.04588315637, 356.4475834184212, 7839.692366456639, 416.38838333420006, 43.0494423861507, 2980.396792135618, 75152.14917973358, 75738.1639592954, 384504.5155236874, 55043.99801560252, 806.0293888706357, 0.3616266817548316, 84195.59946392372, 77357.4463851242, 5621.587319771026, 144657.57756733254, 120565.10009973726, 29936.256477252937, 219239.78328974763, 2645.9762833762534, 271694.81026117975, 65714.08583885049, 20.982005906339083, 64281.077516426936, 32279.84870915139, 23.18218773861391, 8538.175192341763, 264476.8504298354, 280.2702677285448]"
12001.0,4,"[226.7368369095217, 201308.0681283727, 151.4852354678113, 86204.95232986519, 20922.09385042364, 58097.505312675974, 31873.16581783387, 22923.53167823697, 302202.52098877984, 280.1808412744075, 80288.99245193647, 57951.020418089, 208239.9143331027, 18268.811798471215, 6542.291643924294, 15526.983376360016, 2723.6541003541633, 181886.9773574347, 206308.47802666607, 146773.7656189318, 12.689424496757606, 46656.85693024194, 147852.76947670284, 180701.47719911777, 47383.616893939914, 1137.707920577466, 61204.23176754818, 5.414575821654638, 95552.0810535969, 7699.337734923794]"
12001.0,5,"[69276.30652293953, 3914.7132167573304, 36812.414998132386, 58685.525809928455, 207797.90181936917, 18704.130505052715, 65551.3112737068, 159493.92459573405, 38874.47292618038, 23370.190876493165, 201.68512229309965, 15064.035683467726, 131323.73961478894, 68061.9992402888, 42563.17692183808, 214327.12708540118, 129444.56113705593, 74732.26707323371, 30486.687226544585, 0.0, 21.48312806007172, 85789.93936931706, 78523.32418932483, 4415.247921183223, 102711.26516834713, 174930.40027112968, 57506.41153139462, 4521.450048778963, 20627.84143441074, 3204.6810647485486]"
12001.0,6,"[38047.37506608424, 673.3906984207979, 3424.194837873553, 27118.508952946693, 54454.942433384065, 2206.805936173573, 21025.06388161444, 95190.91561629437, 209429.84003083623, 167956.77332820956, 3548.728496454333, 9050.080193220112, 130.0435035258543, 21071.681161881515, 177162.88448372757, 2064.3157413321496, 6601.490932566962, 39.88170674997889, 29455.190314998334, 60231.92189958654, 54.88545000236621, 433508.71858479746, 80304.54067191386, 228198.55602067505, 2009.4473209708483, 2892.518376197896, 47546.485933549884, 235275.20958101566, 189070.04561198098, 119920.53975700568]"
12001.0,7,"[146863.57046559616, 12543.756248112284, 103247.69370089026, 20927.457424007338, 21387.41662973597, 69840.22169405069, 126036.05249970577, 195826.97093135235, 25759.067523241676, 24263.45881909538, 8089.933925878628, 83799.46542069396, 58996.31654636543, 60701.322054421325, 45506.395257023025, 0.0069479826275416065, 167476.8407120738, 93421.9497309329, 82830.40832781293, 0.0, 78204.1649289204, 3236.420532251852, 202745.35225077978, 243.9124830843482, 385.4617966182752, 56947.96883465884, 143799.2094920273, 95463.70643243143, 114612.00481172296, 418.8215308428166]"
12001.0,8,"[4884.021252481838, 89876.86424498748, 63638.55273058736, 127993.38747568062, 124782.23809405604, 228287.50377870907, 109947.73240072222, 4543.870100015725, 131679.5637866784, 90991.22893715015, 33846.0008632609, 20740.25746942536, 126514.48509669922, 5472.479714214944, 4769.733228822752, 104.12991675214836, 65051.88994555498, 0.0, 17874.147466300088, 43464.28048460025, 31976.977231765184, 228608.0434520428, 260729.02431487112, 89684.3259112035, 2566.3697720015366, 43376.9333873968, 61.85656797138867, 27495.425999956886, 21309.886652086065, 2023.6618893819234]"
12001.0,9,"[1.618854992344201e-06, 164278.7659495786, 193564.1098541166, 19.449369942685436, 0.0, 66826.03594605127, 710.5124145842973, 81578.08083910732, 37817.98855123021, 131864.52272872964, 528368.1764804948, 24243.714852087316, 21593.773165292154, 72832.25809175633, 39527.15731547545, 1878.185389701004, 1681.2313797168456, 98408.85203980167, 78535.20367333105, 469.61374008569464, 6922.434480155426, 19967.139566487283, 15212.255214492281, 911.0750141945781, 67284.5930872912, 31092.71228736973, 7408.822249976274, 71427.2530833288, 40277.18516137831, 100239.55970719682]"
12003.0,0,"[38052.96815014423, 5188.227429389501, 126638.88342950304, 110935.78370749958, 54651.80481241225, 61492.913947211804, 12885.585555678132, 43505.462166052916, 7669.192281724831, 70342.68684259769, 0.0, 0.0, 54694.375247982796, 32264.879751854165, 12210.95024500908, 35784.19764231997, 196275.94910500184, 147.09123179831002, 78636.87457033248, 400673.28954202705, 55592.539357541704, 33682.05544047141, 28118.4396128721, 10398.2335933574, 182220.13147979038, 0.0, 24638.97756809548, 0.0, 0.0, 0.0]"
12003.0,1,"[4760.436593778078, 0.0, 9582.514066184705, 2473.036921401338, 112637.3869274602, 11147.357718461697, 0.0, 0.0, 23439.25431679724, 0.9757462896138263, 7792.789241324619, 160262.980153815, 4582.150521063599, 0.0, 5770.7055795177275, 229401.89067951278, 37645.40746975379, 39853.80608045883, 70931.58194575303, 316237.0952038505, 94623.21675975117, 107594.84644834412, 85779.7567225348, 4142.112071001561, 0.0, 13.773722036005639, 26.951764735122715, 218076.61484492646, 56979.25350640824, 10248.314286016495]"
12003.0,2,"[9284.995478793984, 7407.056272252856, 112153.5069414311, 13998.164713002941, 6262.418120128397, 252127.87917791566, 6915.917298557925, 75255.92535074684, 30721.001968855686, 20430.112587383872, 3602.439077158897, 11933.052112990714, 122590.64113718957, 20062.276475988252, 55982.60845087831, 683.3570779052417, 29985.506019141532, 82394.38913547382, 5498.58131820187, 46373.0946418942, 81330.6508712256, 167.3195716781779, 16484.212625586104, 12385.903712672813, 2130.76970282224, 1773.0445773293757, 21291.70648755813, 51447.2140259711, 57562.50013306711, 85640.903335855]"
