state,county,year,claim_amount,claim_count
AK,2020.0,1978,11500.0,4
AK,2020.0,1979,4839.37,1
AK,2020.0,1980,609.35,3
AK,2020.0,1981,0.0,2
AK,2020.0,1982,0.0,2
AK,2020.0,1984,0.0,1
AK,2020.0,1985,2150.0,2
AK,2020.0,1989,8403.880000000001,7
AK,2020.0,1990,9064.84,1
AK,2020.0,1992,0.0,1
AK,2020.0,1993,30600.0,1
AK,2020.0,1995,17380.24,3
AK,2020.0,1997,1473.21,2
AK,2020.0,1998,0.0,1
AK,2020.0,2000,1645.56,1
AK,2020.0,2001,0.0,1
AK,2020.0,2002,0.0,1
AK,2020.0,2003,0.0,1
AK,2020.0,2004,0.0,3
AK,2020.0,2005,0.0,2
AK,2020.0,2006,0.0,2
AK,2020.0,2009,1575.67,4
AK,2020.0,2012,138598.38,10
AK,2020.0,2013,26948.01,8
AK,2020.0,2014,676.45,3
AK,2020.0,2015,0.0,1
AK,2020.0,2016,0.0,2
AK,2020.0,2018,0.0,1
AK,2020.0,2021,3845.65,2
AK,2020.0,2023,0.0,2
AK,2020.0,2024,8585.66,4
AK,2050.0,1983,3344.44,2
AK,2050.0,1985,6213.99,5
AK,2050.0,1987,10004.63,1
AK,2050.0,1989,5521.0,4
AK,2050.0,1991,129193.81,8
AK,2050.0,1995,45394.72,4
AK,2050.0,1999,3445.0,2
AK,2050.0,2001,0.0,1
AK,2050.0,2002,49172.11,7
AK,2050.0,2005,9286.24,1
AK,2050.0,2006,3714.08,2
AK,2050.0,2009,32341.909999999996,2
AK,2050.0,2011,0.0,1
AK,2050.0,2013,0.0,1
AK,2050.0,2024,7895.3,4
AK,2090.0,1978,216.46,1
AK,2090.0,1979,0.0,1
AK,2090.0,1980,20701.3,20
AK,2090.0,1981,0.0,1
AK,2090.0,1982,631.06,2
AK,2090.0,1983,0.0,2
AK,2090.0,1984,22302.93,4
AK,2090.0,1985,81058.45,11
AK,2090.0,1986,13928.52,6
AK,2090.0,1990,13316.279999999999,2
AK,2090.0,1991,125387.49,28
AK,2090.0,1992,34300.0,3
AK,2090.0,1993,0.0,1
AK,2090.0,1994,18332.67,3
AK,2090.0,1995,17381.239999999998,3
AK,2090.0,1996,3523.47,1
AK,2090.0,1997,3680.19,5
AK,2090.0,1999,0.0,2
AK,2090.0,2001,7040.56,2
AK,2090.0,2002,77774.7,12
AK,2090.0,2003,161366.01,23
AK,2090.0,2004,67721.73,4
AK,2090.0,2005,46976.689999999995,5
AK,2090.0,2006,2828.0,2
AK,2090.0,2007,11221.4,1
AK,2090.0,2008,674338.68,47
AK,2090.0,2009,202206.11,4
AK,2090.0,2011,99848.36000000002,2
AK,2090.0,2012,0.0,1
AK,2090.0,2014,351774.73,12
AK,2090.0,2015,0.0,2
AK,2090.0,2016,45910.53,6
AK,2090.0,2019,31581.41,4
AK,2090.0,2020,348100.37,12
AK,2090.0,2021,14960.58,2
AK,2090.0,2022,25180.739999999998,2
AK,2090.0,2023,43166.17,4
AK,2090.0,2024,955.84,1
AK,2110.0,1986,1441.68,1
AK,2110.0,1990,0.0,1
AK,2110.0,1993,4108.610000000001,2
AK,2110.0,1995,7697.01,1
AK,2110.0,1996,18271.54,5
AK,2110.0,1998,6545.4,4
AK,2110.0,2003,4899.73,1
AK,2110.0,2004,0.0,1
AK,2110.0,2005,16224.48,3
AK,2110.0,2006,1611.1699999999998,1
AK,2110.0,2009,79759.0,4
AK,2110.0,2010,0.0,1
AK,2110.0,2011,23057.0,1
AK,2110.0,2014,217730.51,2
AK,2110.0,2017,31962.91,3
AK,2110.0,2020,83469.2,4
AK,2110.0,2022,105291.81,4
AK,2110.0,2023,1071576.94,10
AK,2110.0,2024,2490711.45,34
AK,2122.0,1979,4746.1,2
AK,2122.0,1995,139514.06,20
AK,2122.0,1996,0.0,2
AK,2122.0,1999,21598.29,2
AK,2122.0,2000,7749.52,1
AK,2122.0,2002,175134.65999999997,5
AK,2122.0,2006,148309.9,11
AK,2122.0,2007,5535.63,3
AK,2122.0,2008,3597.27,1
AK,2122.0,2009,0.0,1
AK,2122.0,2011,1445.0,1
AK,2122.0,2012,98513.53,23
AK,2122.0,2013,0.0,1
AK,2122.0,2017,28030.54,2
AK,2122.0,2022,10546.46,1
AK,2122.0,2023,68287.42,3
AK,2122.0,2024,514.54,3
AK,2130.0,1980,22500.0,1
AK,2130.0,2001,0.0,2
AK,2130.0,2006,0.0,1
AK,2130.0,2015,99036.46999999999,4
AK,2130.0,2020,7915.73,1
AK,2170.0,1979,7861.8,1
AK,2170.0,1980,421.51,1
AK,2170.0,1981,8802.1,1
AK,2170.0,1986,8252.89,2
AK,2170.0,1988,0.0,1
AK,2170.0,1990,51500.0,1
AK,2170.0,1991,178650.0,4
AK,2170.0,1992,177644.0,1
AK,2170.0,1994,348802.8,5
AK,2170.0,1995,45633.81,2
AK,2170.0,1998,0.0,1
AK,2170.0,2002,6415.08,1
AK,2170.0,2003,0.0,2
AK,2170.0,2004,0.0,1
AK,2170.0,2005,14336.98,3
AK,2170.0,2006,149108.44,16
AK,2170.0,2007,0.0,1
AK,2170.0,2012,602023.14,31
AK,2170.0,2013,0.0,1
AK,2170.0,2014,5212.43,1
AK,2170.0,2019,163182.21,2
AK,2170.0,2021,0.0,1
AK,2170.0,2022,10540.88,1
AK,2170.0,2024,329169.83,3
AK,2180.0,1992,28065.1,3
AK,2180.0,1996,11584.09,1
AK,2180.0,2004,456437.71,10
AK,2180.0,2005,128607.0,1
AK,2180.0,2022,896403.12,10
AK,2185.0,2013,55781.71,1
AK,2188.0,1990,0.0,1
AK,2188.0,2011,3625.62,1
AK,2188.0,2024,40413.42,5
AK,2220.0,1984,0.0,1
AK,2220.0,1985,0.0,2
AK,2220.0,2009,20130.27,2
AK,2220.0,2017,0.0,1
AK,2261.0,1981,12901.34,1
AK,2261.0,1986,12362.24,1
AK,2261.0,1994,9596.380000000001,1
AK,2261.0,2006,33170.479999999996,4
AK,2261.0,2007,0.0,1
AK,2270.0,2006,0.0,1
AK,2270.0,2010,13411.25,1
AK,2280.0,2020,0.0,1
AK,2290.0,1984,0.0,1
AK,2290.0,1992,280345.97000000003,21
AK,2290.0,2005,0.0,1
AK,2290.0,2008,42684.61,10
AK,2290.0,2011,0.0,1
AK,2290.0,2013,3015643.54,33
AK,2290.0,2014,2825.34,4
AK,2290.0,2020,0.0,1
AL,1001.0,1979,38795.17,4
AL,1001.0,1990,464945.49,17
AL,1001.0,1991,4503.8,2
AL,1001.0,1995,3462.0299999999997,2
AL,1001.0,1997,0.0,1
AL,1001.0,1999,48407.19,3
AL,1001.0,2000,294801.08,12
AL,1001.0,2004,0.0,2
AL,1001.0,2005,0.0,1
AL,1001.0,2009,252708.52000000002,12
AL,1001.0,2011,0.0,1
AL,1001.0,2012,0.0,1
AL,1001.0,2013,43792.16,1
AL,1001.0,2015,24464.31,5
AL,1001.0,2016,0.0,2
AL,1001.0,2017,164282.27,6
AL,1001.0,2018,0.0,1
AL,1001.0,2020,0.0,2
AL,1001.0,2024,28044.34,1
AL,1003.0,1978,153488.54,36
AL,1003.0,1979,14339054.09,973
AL,1003.0,1980,75975.65,17
AL,1003.0,1981,145205.56,19
AL,1003.0,1982,0.0,1
AL,1003.0,1983,89291.9,41
AL,1003.0,1984,15080.529999999999,3
AL,1003.0,1985,1463637.0,423
AL,1003.0,1987,30556.41,23
AL,1003.0,1988,2542.65,6
AL,1003.0,1989,241172.08000000002,27
AL,1003.0,1990,233977.23,37
AL,1003.0,1991,67162.43000000001,15
AL,1003.0,1992,11239.98,7
AL,1003.0,1993,7144.15,3
AL,1003.0,1994,29948.78,8
AL,1003.0,1995,14980221.78,1425
AL,1003.0,1996,454236.86,45
AL,1003.0,1997,5622135.71,555
AL,1003.0,1998,36170606.3,2570
AL,1003.0,1999,61331.51,11
AL,1003.0,2000,7585.99,2
AL,1003.0,2001,13340.77,4
AL,1003.0,2002,3148125.26,612
AL,1003.0,2003,273376.86000000004,22
AL,1003.0,2004,331777173.05,5411
AL,1003.0,2005,75850216.81,2592
AL,1003.0,2006,13310.05,3
AL,1003.0,2007,614911.59,39
AL,1003.0,2008,1861341.32,256
AL,1003.0,2009,674483.38,47
AL,1003.0,2010,1964.96,5
AL,1003.0,2011,0.0,7
AL,1003.0,2012,797355.88,95
AL,1003.0,2013,124108.06,18
AL,1003.0,2014,44575151.87,1004
AL,1003.0,2015,34670.69,3
AL,1003.0,2016,81309.48,8
AL,1003.0,2017,1214607.81,92
AL,1003.0,2018,35930.600000000006,9
AL,1003.0,2019,23650.989999999998,6
AL,1003.0,2020,121741280.47,3199
AL,1003.0,2021,352981.46,29
AL,1003.0,2022,0.0,3
AL,1003.0,2023,153968.99000000002,4
AL,1003.0,2024,12149.61,7
AL,1005.0,1990,25511.7,19
AL,1005.0,1994,12683.74,1
AL,1005.0,1995,604.0,1
AL,1005.0,1998,0.0,1
AL,1005.0,2005,10305.78,2
AL,1005.0,2015,628947.71,7
AL,1005.0,2018,0.0,1
AL,1005.0,2020,16797.8,2
AL,1007.0,1979,3935.0,1
AL,1007.0,1983,5175.45,1
AL,1007.0,1985,19433.92,2
AL,1007.0,1994,0.0,1
AL,1007.0,1998,0.0,1
AL,1007.0,2009,2651.29,1
AL,1007.0,2012,1703.85,1
AL,1007.0,2014,0.0,1
AL,1007.0,2018,0.0,1
AL,1007.0,2022,0.0,1
AL,1007.0,2024,85.94,1
AL,1009.0,1979,29000.0,1
AL,1009.0,1981,0.0,1
AL,1009.0,1982,1950.0,1
AL,1009.0,1984,0.0,1
AL,1009.0,1987,46592.380000000005,3
AL,1009.0,1988,10206.08,1
AL,1009.0,1990,26907.63,2
AL,1009.0,1995,22404.77,1
AL,1009.0,1997,12450.08,2
AL,1009.0,1998,4344.72,1
AL,1009.0,1999,9052.31,1
AL,1009.0,2000,3510.22,1
AL,1009.0,2001,9501.92,1
AL,1009.0,2005,55732.75,1
AL,1009.0,2015,526760.18,4
AL,1009.0,2020,25444.22,3
AL,1009.0,2021,15070.14,1
AL,1011.0,1980,653.95,1
AL,1011.0,2009,61460.69,2
AL,1013.0,1979,9900.0,2
AL,1013.0,2014,0.0,1
AL,1015.0,1979,37301.41,16
AL,1015.0,1980,1981.49,2
AL,1015.0,1984,0.0,1
AL,1015.0,1985,3100.0,2
AL,1015.0,1989,0.0,1
AL,1015.0,1990,46482.04,11
AL,1015.0,1991,1182.32,2
AL,1015.0,1992,2535.79,3
AL,1015.0,1993,6877.650000000001,3
AL,1015.0,1994,5652.89,2
AL,1015.0,1995,102110.03,12
AL,1015.0,1996,0.0,2
