state,countyCode,Year,totalClaimsPaid,totalActualLoss,numberOfClaims
AK,2020.0,1978,11500.0,18325.0,4
AK,2020.0,1979,4839.37,5040.0,1
AK,2020.0,1980,609.35,810.0,3
AK,2020.0,1981,0.0,0.0,2
AK,2020.0,1982,0.0,0.0,2
AK,2020.0,1984,0.0,0.0,1
AK,2020.0,1985,2150.0,2650.0,2
AK,2020.0,1989,8403.880000000001,10780.0,7
AK,2020.0,1990,9064.84,9564.0,1
AK,2020.0,1992,0.0,0.0,1
AK,2020.0,1993,30600.0,31450.0,1
AK,2020.0,1995,17380.24,18381.0,3
AK,2020.0,1997,1473.21,1973.0,2
AK,2020.0,1998,0.0,0.0,1
AK,2020.0,2000,1645.56,2145.0,1
AK,2020.0,2001,0.0,0.0,1
AK,2020.0,2002,0.0,0.0,1
AK,2020.0,2003,0.0,0.0,1
AK,2020.0,2004,0.0,0.0,3
AK,2020.0,2005,0.0,0.0,2
AK,2020.0,2006,0.0,0.0,2
AK,2020.0,2009,1575.67,2076.0,4
AK,2020.0,2012,138598.38,140238.0,10
AK,2020.0,2013,26948.01,31873.0,8
AK,2020.0,2014,676.45,2677.0,3
AK,2020.0,2015,0.0,0.0,1
AK,2020.0,2016,0.0,0.0,2
AK,2020.0,2018,0.0,0.0,1
AK,2020.0,2021,3845.65,5095.0,2
AK,2020.0,2023,0.0,0.0,2
AK,2020.0,2024,8585.66,6996.0,4
AK,2050.0,1983,3344.44,4345.0,2
AK,2050.0,1985,6213.99,7928.0,5
AK,2050.0,1987,10004.63,10505.0,1
AK,2050.0,1989,5521.0,7521.0,4
AK,2050.0,1991,129193.81,147187.0,8
AK,2050.0,1995,45394.72,61425.0,4
AK,2050.0,1999,3445.0,4445.0,2
AK,2050.0,2001,0.0,0.0,1
AK,2050.0,2002,49172.11,56172.0,7
AK,2050.0,2005,9286.24,9000.0,1
AK,2050.0,2006,3714.08,4714.0,2
AK,2050.0,2009,32341.909999999996,32673.0,2
AK,2050.0,2011,0.0,0.0,1
AK,2050.0,2013,0.0,0.0,1
AK,2050.0,2024,7895.3,11178.0,4
AK,2090.0,1978,216.46,417.0,1
AK,2090.0,1979,0.0,0.0,1
AK,2090.0,1980,20701.3,26742.0,20
AK,2090.0,1981,0.0,0.0,1
AK,2090.0,1982,631.06,844.0,2
AK,2090.0,1983,0.0,0.0,2
AK,2090.0,1984,22302.93,23329.0,4
AK,2090.0,1985,81058.45,150439.0,11
AK,2090.0,1986,13928.52,15541.0,6
AK,2090.0,1990,13316.279999999999,16315.0,2
AK,2090.0,1991,125387.49,144500.0,28
AK,2090.0,1992,34300.0,34800.0,3
AK,2090.0,1993,0.0,0.0,1
AK,2090.0,1994,18332.67,20330.0,3
AK,2090.0,1995,17381.239999999998,20607.0,3
AK,2090.0,1996,3523.47,4284.0,1
AK,2090.0,1997,3680.19,72929.0,5
AK,2090.0,1999,0.0,0.0,2
AK,2090.0,2001,7040.56,6954.0,2
AK,2090.0,2002,77774.7,79345.0,12
AK,2090.0,2003,161366.01,171320.0,23
AK,2090.0,2004,67721.73,69385.0,4
AK,2090.0,2005,46976.689999999995,50780.0,5
AK,2090.0,2006,2828.0,3328.0,2
AK,2090.0,2007,11221.4,11361.0,1
AK,2090.0,2008,674338.68,660338.0,47
AK,2090.0,2009,202206.11,173109.0,4
AK,2090.0,2011,99848.36000000002,85534.0,2
AK,2090.0,2012,0.0,0.0,1
AK,2090.0,2014,351774.73,425996.0,12
AK,2090.0,2015,0.0,552.0,2
AK,2090.0,2016,45910.53,45870.0,6
AK,2090.0,2019,31581.41,19807.0,4
AK,2090.0,2020,348100.37,328309.0,12
AK,2090.0,2021,14960.58,17348.0,2
AK,2090.0,2022,25180.739999999998,22825.0,2
AK,2090.0,2023,43166.17,35486.0,4
AK,2090.0,2024,955.84,2206.0,1
AK,2110.0,1986,1441.68,1942.0,1
AK,2110.0,1990,0.0,0.0,1
AK,2110.0,1993,4108.610000000001,5456.0,2
AK,2110.0,1995,7697.01,11815.0,1
AK,2110.0,1996,18271.54,20521.0,5
AK,2110.0,1998,6545.4,7795.0,4
AK,2110.0,2003,4899.73,5399.0,1
AK,2110.0,2004,0.0,0.0,1
AK,2110.0,2005,16224.48,16724.0,3
AK,2110.0,2006,1611.1699999999998,2612.0,1
AK,2110.0,2009,79759.0,81862.0,4
AK,2110.0,2010,0.0,0.0,1
AK,2110.0,2011,23057.0,23561.0,1
AK,2110.0,2014,217730.51,192116.0,2
AK,2110.0,2017,31962.91,52046.0,3
AK,2110.0,2020,83469.2,87804.0,4
AK,2110.0,2022,105291.81,105488.0,4
AK,2110.0,2023,1071576.94,758747.0,10
AK,2110.0,2024,2490711.45,2400028.0,34
AK,2122.0,1979,4746.1,5207.0,2
AK,2122.0,1995,139514.06,157505.0,20
AK,2122.0,1996,0.0,0.0,2
AK,2122.0,1999,21598.29,23873.0,2
AK,2122.0,2000,7749.52,8749.0,1
AK,2122.0,2002,175134.66,160421.0,5
AK,2122.0,2006,148309.9,165822.0,11
AK,2122.0,2007,5535.63,6036.0,3
AK,2122.0,2008,3597.27,4017.0,1
AK,2122.0,2009,0.0,0.0,1
AK,2122.0,2011,1445.0,2445.0,1
AK,2122.0,2012,98513.53,120038.0,23
AK,2122.0,2013,0.0,0.0,1
AK,2122.0,2017,28030.54,30530.0,2
AK,2122.0,2022,10546.46,11795.0,1
AK,2122.0,2023,68287.42,35432.0,3
AK,2122.0,2024,514.54,1765.0,3
AK,2130.0,1980,22500.0,22900.0,1
AK,2130.0,2001,0.0,0.0,2
AK,2130.0,2006,0.0,0.0,1
AK,2130.0,2015,99036.47,110470.0,4
AK,2130.0,2020,7915.73,12915.0,1
AK,2170.0,1979,7861.8,8062.0,1
AK,2170.0,1980,421.51,654.0,1
AK,2170.0,1981,8802.1,9003.0,1
AK,2170.0,1986,8252.89,10254.0,2
AK,2170.0,1988,0.0,0.0,1
AK,2170.0,1990,51500.0,52000.0,1
AK,2170.0,1991,178650.0,179650.0,4
AK,2170.0,1992,177644.0,178144.0,1
AK,2170.0,1994,348802.8,367204.0,5
AK,2170.0,1995,45633.81,46133.0,2
AK,2170.0,1998,0.0,0.0,1
AK,2170.0,2002,6415.08,7416.0,1
AK,2170.0,2003,0.0,0.0,2
AK,2170.0,2004,0.0,0.0,1
AK,2170.0,2005,14336.98,15838.0,3
AK,2170.0,2006,149108.44,182210.0,16
AK,2170.0,2007,0.0,0.0,1
AK,2170.0,2012,602023.1399999999,647688.0,31
AK,2170.0,2013,0.0,0.0,1
AK,2170.0,2014,5212.43,6212.0,1
AK,2170.0,2019,163182.21,140201.0,2
AK,2170.0,2021,0.0,0.0,1
AK,2170.0,2022,10540.88,11698.0,1
AK,2170.0,2024,329169.83,360816.0,3
AK,2180.0,1992,28065.1,33216.0,3
AK,2180.0,1996,11584.09,12335.0,1
AK,2180.0,2004,456437.7100000001,476569.0,10
AK,2180.0,2005,128607.0,144294.0,1
AK,2180.0,2022,896403.1200000001,944222.0,10
AK,2185.0,2013,55781.71,60782.0,1
AK,2188.0,1990,0.0,0.0,1
AK,2188.0,2011,3625.62,4310.0,1
AK,2188.0,2024,40413.42,32053.0,5
AK,2220.0,1984,0.0,0.0,1
AK,2220.0,1985,0.0,0.0,2
AK,2220.0,2009,20130.27,25131.0,2
AK,2220.0,2017,0.0,0.0,1
AK,2261.0,1981,12901.34,13302.0,1
AK,2261.0,1986,12362.24,13600.0,1
AK,2261.0,1994,9596.380000000001,11097.0,1
AK,2261.0,2006,33170.479999999996,32558.0,4
AK,2261.0,2007,0.0,0.0,1
AK,2270.0,2006,0.0,0.0,1
AK,2270.0,2010,13411.25,13612.0,1
AK,2280.0,2020,0.0,0.0,1
AK,2290.0,1984,0.0,0.0,1
AK,2290.0,1992,280345.97,317301.0,21
AK,2290.0,2005,0.0,0.0,1
AK,2290.0,2008,42684.61,53689.0,10
AK,2290.0,2011,0.0,0.0,1
AK,2290.0,2013,3015643.54,3414278.0,33
AK,2290.0,2014,2825.34,6803.0,4
AK,2290.0,2020,0.0,0.0,1
AL,1001.0,1979,38795.17,43158.0,4
AL,1001.0,1990,464945.49,594070.0,17
AL,1001.0,1991,4503.8,5003.0,2
AL,1001.0,1995,3462.0299999999997,4462.0,2
AL,1001.0,1997,0.0,0.0,1
AL,1001.0,1999,48407.19,50408.0,3
AL,1001.0,2000,294801.08,399381.0,12
AL,1001.0,2004,0.0,0.0,2
AL,1001.0,2005,0.0,0.0,1
AL,1001.0,2009,252708.52000000002,257035.0,12
AL,1001.0,2011,0.0,0.0,1
AL,1001.0,2012,0.0,0.0,1
AL,1001.0,2013,43792.16,45574.0,1
AL,1001.0,2015,24464.31,29011.0,5
AL,1001.0,2016,0.0,0.0,2
AL,1001.0,2017,164282.27,175127.0,6
AL,1001.0,2018,0.0,0.0,1
AL,1001.0,2020,0.0,948.0,2
AL,1001.0,2024,28044.34,29044.0,1
AL,1003.0,1978,153488.54,174551.0,36
AL,1003.0,1979,14339054.09,21477222.0,973
AL,1003.0,1980,75975.65000000001,81760.0,17
AL,1003.0,1981,145205.56,171042.0,19
AL,1003.0,1982,0.0,0.0,1
AL,1003.0,1983,89291.9,117221.0,41
AL,1003.0,1984,15080.529999999999,19000.0,3
AL,1003.0,1985,1463637.0,1882781.0,423
AL,1003.0,1987,30556.41,39212.0,23
AL,1003.0,1988,2542.65,5615.0,6
AL,1003.0,1989,241172.08,430968.0,27
AL,1003.0,1990,233977.23,288649.0,37
AL,1003.0,1991,67162.43,78967.0,15
AL,1003.0,1992,11239.98,15996.0,7
AL,1003.0,1993,7144.15,8643.0,3
AL,1003.0,1994,29948.78,35736.0,8
AL,1003.0,1995,14980221.780000001,18743209.0,1425
AL,1003.0,1996,454236.86,566505.0,45
AL,1003.0,1997,5622135.71,7569977.0,555
AL,1003.0,1998,36170606.3,38195432.0,2570
AL,1003.0,1999,61331.509999999995,67313.0,11
AL,1003.0,2000,7585.99,8085.0,2
AL,1003.0,2001,13340.77,14341.0,4
AL,1003.0,2002,3148125.26,3606095.0,612
AL,1003.0,2003,273376.86,282420.0,22
AL,1003.0,2004,331777173.05,355983673.0,5411
AL,1003.0,2005,75850216.81,84166016.0,2592
AL,1003.0,2006,13310.05,13856.0,3
AL,1003.0,2007,614911.59,644737.0,39
AL,1003.0,2008,1861341.3199999998,2120992.0,256
AL,1003.0,2009,674483.38,755004.0,47
AL,1003.0,2010,1964.96,2431.0,5
AL,1003.0,2011,0.0,4684.0,7
AL,1003.0,2012,797355.8800000001,893110.0,95
AL,1003.0,2013,124108.06,128444.0,18
AL,1003.0,2014,44575151.870000005,44849681.0,1004
AL,1003.0,2015,34670.69,40670.0,3
