State,County,claim_counts,claim_loss,test_loss,p,mu,phi
AK,2020.0,"[4, 1, 3, 2, 2, 0, 1, 2, 0, 0, 0, 7, 1, 0, 1, 1, 0, 3, 0, 2, 1, 0, 1, 1, 1, 1, 3, 2, 2, 0, 0, 4, 0, 0, 10, 8]","[11500.0, 4839.37, 609.35, 0.0, 0.0, 0.0, 0.0, 2150.0, 0.0, 0.0, 0.0, 8403.880000000001, 9064.84, 0.0, 0.0, 30600.0, 0.0, 17380.24, 0.0, 1473.21, 0.0, 0.0, 1645.56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1575.67, 0.0, 0.0, 138598.38, 26948.01]","[676.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3845.65, 0.0, 0.0]",1.9448645600804417,7077.458641666666,16.632455243028005
AK,2050.0,"[0, 0, 0, 0, 0, 2, 0, 5, 0, 1, 0, 4, 0, 8, 0, 0, 0, 4, 0, 0, 0, 2, 0, 1, 7, 0, 0, 1, 2, 0, 0, 2, 0, 1, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 3344.44, 0.0, 6213.99, 0.0, 10004.63, 0.0, 5521.0, 0.0, 129193.81, 0.0, 0.0, 0.0, 45394.72, 0.0, 0.0, 0.0, 3445.0, 0.0, 0.0, 49172.11, 0.0, 0.0, 9286.24, 3714.08, 0.0, 0.0, 32341.91, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.8759511074067994,8267.553619444443,21.670654776339447
AK,2090.0,"[1, 1, 20, 1, 2, 2, 4, 11, 6, 0, 0, 0, 2, 28, 3, 1, 3, 3, 1, 5, 0, 2, 0, 2, 12, 23, 4, 5, 2, 1, 47, 4, 0, 2, 1, 0]","[216.46, 0.0, 20701.3, 0.0, 631.06, 0.0, 22302.93, 81058.45, 13928.52, 0.0, 0.0, 0.0, 13316.28, 125387.49, 34300.0, 0.0, 18332.67, 17381.239999999998, 3523.47, 3680.19, 0.0, 0.0, 0.0, 7040.56, 77774.7, 161366.01, 67721.73, 46976.69, 2828.0, 11221.4, 674338.68, 202206.11, 0.0, 99848.36000000002, 0.0, 0.0]","[351774.73, 0.0, 45910.53, 0.0, 0.0, 31581.41, 348100.37, 14960.58, 25180.74, 43166.17]",1.9160017177063597,47391.17501666666,5.32021980797128
AK,2110.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 5, 0, 4, 0, 0, 0, 0, 1, 1, 3, 1, 0, 0, 4, 1, 1, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1441.68, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4108.610000000001, 0.0, 7697.01, 18271.54, 0.0, 6545.4, 0.0, 0.0, 0.0, 0.0, 4899.73, 0.0, 16224.48, 1611.1699999999998, 0.0, 0.0, 79759.0, 0.0, 23057.0, 0.0, 0.0]","[217730.51, 0.0, 0.0, 31962.91, 0.0, 0.0, 83469.2, 0.0, 105291.81, 1071576.94]",1.8688000735367813,4544.8783416666665,31.861206182950948
AK,2122.0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 2, 0, 0, 2, 1, 0, 5, 0, 0, 0, 11, 3, 1, 1, 0, 1, 23, 1]","[0.0, 4746.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 139514.06, 0.0, 0.0, 0.0, 21598.29, 7749.52, 0.0, 175134.66, 0.0, 0.0, 0.0, 148309.9, 5535.63, 3597.27, 0.0, 0.0, 1445.0, 98513.53, 0.0]","[0.0, 0.0, 0.0, 28030.54, 0.0, 0.0, 0.0, 0.0, 10546.46, 68287.42]",1.9068553113553284,16837.332230555552,13.106189837836865
AK,2130.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 22500.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 99036.47, 0.0, 0.0, 0.0, 0.0, 7915.73, 0.0, 0.0, 0.0]",1.9541502394924466,625.0000055555556,263.6913400801158
AK,2170.0,"[0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1, 4, 1, 0, 5, 2, 0, 0, 1, 0, 0, 0, 1, 2, 1, 3, 16, 1, 0, 0, 0, 0, 31, 1]","[0.0, 7861.8, 421.51, 8802.1, 0.0, 0.0, 0.0, 0.0, 8252.89, 0.0, 0.0, 0.0, 51500.0, 178650.0, 177644.0, 0.0, 348802.8, 45633.81, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6415.08, 0.0, 0.0, 14336.98, 149108.44, 0.0, 0.0, 0.0, 0.0, 0.0, 602023.1399999999, 0.0]","[5212.43, 0.0, 0.0, 0.0, 0.0, 163182.21, 0.0, 0.0, 10540.88, 0.0]",1.9146404533008776,44429.23751666666,13.834380473377971
AK,2180.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28065.1, 0.0, 0.0, 0.0, 11584.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 456437.7100000001, 128607.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 896403.1200000001, 0.0]",1.6188371911128971,17352.608333333337,260.0093134239784
AK,2185.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 55781.71]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.000017639800462,1549.4919444444442,55775.466344792214
AK,2188.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3625.62, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.9080735309496821,100.71166944444444,299.20440215837607
