state,county,year,policy_amount,policy_count
AK,2020.0,2009,212666,340
AK,2020.0,2010,299463,381
AK,2020.0,2011,261915,389
AK,2020.0,2012,328674,531
AK,2020.0,2013,360530,523
AK,2020.0,2014,339566,501
AK,2020.0,2015,331396,495
AK,2020.0,2016,309181,440
AK,2020.0,2017,315910,425
AK,2020.0,2018,302658,395
AK,2020.0,2019,295709,388
AK,2020.0,2020,305157,377
AK,2020.0,2021,334126,397
AK,2020.0,2022,155467,429
AK,2020.0,2023,89013,401
AK,2020.0,2024,87415,387
AK,2020.0,2025,29860,122
AK,2050.0,2009,175366,178
AK,2050.0,2010,218165,186
AK,2050.0,2011,214973,183
AK,2050.0,2012,227665,186
AK,2050.0,2013,213675,172
AK,2050.0,2014,188764,153
AK,2050.0,2015,172942,142
AK,2050.0,2016,188352,127
AK,2050.0,2017,165387,120
AK,2050.0,2018,155674,98
AK,2050.0,2019,129272,86
AK,2050.0,2020,152046,90
AK,2050.0,2021,170466,96
AK,2050.0,2022,50823,97
AK,2050.0,2023,22780,93
AK,2050.0,2024,25271,101
AK,2050.0,2025,11046,44
AK,2068.0,2009,3247,2
AK,2068.0,2010,2826,2
AK,2068.0,2011,2055,1
AK,2068.0,2012,2272,1
AK,2068.0,2013,2374,1
AK,2070.0,2009,10187,7
AK,2070.0,2010,15506,11
AK,2070.0,2011,32401,16
AK,2070.0,2012,32455,14
AK,2070.0,2013,28954,11
AK,2070.0,2014,15264,9
AK,2070.0,2015,2777,4
AK,2070.0,2016,5285,4
AK,2070.0,2017,5349,4
AK,2070.0,2018,5448,4
AK,2070.0,2019,5706,4
AK,2070.0,2020,5994,4
AK,2070.0,2021,7379,4
AK,2070.0,2022,776,1
AK,2070.0,2023,630,2
AK,2070.0,2024,631,2
AK,2090.0,2009,692917,941
AK,2090.0,2010,716673,919
AK,2090.0,2011,753451,935
AK,2090.0,2012,736894,878
AK,2090.0,2013,708231,847
AK,2090.0,2014,824067,925
AK,2090.0,2015,614495,808
AK,2090.0,2016,592363,788
AK,2090.0,2017,539194,711
AK,2090.0,2018,512413,687
AK,2090.0,2019,514696,663
AK,2090.0,2020,526647,644
AK,2090.0,2021,533910,629
AK,2090.0,2022,313893,641
AK,2090.0,2023,246638,606
AK,2090.0,2024,210703,612
AK,2090.0,2025,49752,149
AK,2100.0,2009,1045,3
AK,2100.0,2010,710,2
AK,2100.0,2011,730,2
AK,2100.0,2012,753,2
AK,2100.0,2013,830,2
AK,2100.0,2014,830,2
AK,2100.0,2015,738,2
AK,2100.0,2016,738,2
AK,2100.0,2017,738,2
AK,2100.0,2018,738,2
AK,2100.0,2019,376,1
AK,2100.0,2020,395,1
AK,2100.0,2021,4063,9
AK,2100.0,2022,4047,10
AK,2100.0,2023,2076,7
AK,2100.0,2024,2217,7
AK,2100.0,2025,693,3
AK,2105.0,2009,518,2
AK,2105.0,2010,540,2
AK,2105.0,2011,335,1
AK,2105.0,2012,30648,8
AK,2105.0,2013,33273,8
AK,2105.0,2014,34111,6
AK,2110.0,2009,221574,357
AK,2110.0,2010,229574,366
AK,2110.0,2011,278453,418
AK,2110.0,2012,280316,386
AK,2110.0,2013,323252,492
AK,2110.0,2014,274672,403
AK,2110.0,2015,232208,400
AK,2110.0,2016,214551,362
AK,2110.0,2017,191403,329
AK,2110.0,2018,200410,336
AK,2110.0,2019,212242,331
AK,2110.0,2020,226956,354
AK,2110.0,2021,213640,382
AK,2110.0,2022,132980,357
AK,2110.0,2023,113721,381
AK,2110.0,2024,229865,838
AK,2110.0,2025,74405,209
AK,2122.0,2009,190214,305
AK,2122.0,2010,223266,347
AK,2122.0,2011,245000,363
AK,2122.0,2012,264620,368
AK,2122.0,2013,284016,387
AK,2122.0,2014,283448,376
AK,2122.0,2015,251019,358
AK,2122.0,2016,246841,367
AK,2122.0,2017,220743,352
AK,2122.0,2018,225196,341
AK,2122.0,2019,209838,326
AK,2122.0,2020,230870,334
AK,2122.0,2021,245264,347
AK,2122.0,2022,151145,348
