propertyState,countyCode,Year,totalPremium,totalPolicies
AK,2020.0,2015,331396,495
AK,2020.0,2016,309181,440
AK,2020.0,2017,315910,425
AK,2020.0,2018,302658,395
AK,2020.0,2019,295709,388
AK,2020.0,2020,305157,377
AK,2020.0,2021,334126,397
AK,2020.0,2022,155467,429
AK,2020.0,2023,89013,401
AK,2020.0,2024,87415,387
AK,2050.0,2015,172942,142
AK,2050.0,2016,188352,127
AK,2050.0,2017,165387,120
AK,2050.0,2018,155674,98
AK,2050.0,2019,129272,86
AK,2050.0,2020,152046,90
AK,2050.0,2021,170466,96
AK,2050.0,2022,50823,97
AK,2050.0,2023,22780,93
AK,2050.0,2024,25271,101
AK,2070.0,2015,2777,4
AK,2070.0,2016,5285,4
AK,2070.0,2017,5349,4
AK,2070.0,2018,5448,4
AK,2070.0,2019,5706,4
AK,2070.0,2020,5994,4
AK,2070.0,2021,7379,4
AK,2070.0,2022,776,1
AK,2070.0,2023,630,2
AK,2070.0,2024,631,2
AK,2090.0,2015,614495,808
AK,2090.0,2016,592363,788
AK,2090.0,2017,539194,711
AK,2090.0,2018,512413,687
AK,2090.0,2019,514696,663
AK,2090.0,2020,526647,644
AK,2090.0,2021,533910,629
AK,2090.0,2022,313893,641
AK,2090.0,2023,246638,606
AK,2090.0,2024,210703,612
AK,2100.0,2015,738,2
AK,2100.0,2016,738,2
AK,2100.0,2017,738,2
AK,2100.0,2018,738,2
AK,2100.0,2019,376,1
AK,2100.0,2020,395,1
AK,2100.0,2021,4063,9
AK,2100.0,2022,4047,10
AK,2100.0,2023,2076,7
AK,2100.0,2024,2217,7
AK,2110.0,2015,232208,400
AK,2110.0,2016,214551,362
AK,2110.0,2017,191403,329
AK,2110.0,2018,200410,336
AK,2110.0,2019,212242,331
AK,2110.0,2020,226956,354
AK,2110.0,2021,213640,382
AK,2110.0,2022,132980,357
AK,2110.0,2023,113721,381
AK,2110.0,2024,229865,838
AK,2122.0,2015,251019,358
AK,2122.0,2016,246841,367
AK,2122.0,2017,220743,352
AK,2122.0,2018,225196,341
AK,2122.0,2019,209838,326
AK,2122.0,2020,230870,334
AK,2122.0,2021,245264,347
AK,2122.0,2022,151145,348
AK,2122.0,2023,125828,337
AK,2122.0,2024,133666,337
AK,2130.0,2015,113772,60
AK,2130.0,2016,98490,51
AK,2130.0,2017,96087,45
AK,2130.0,2018,97672,45
AK,2130.0,2019,114333,41
AK,2130.0,2020,131516,45
AK,2130.0,2021,129411,50
AK,2130.0,2022,97538,62
AK,2130.0,2023,76000,58
AK,2130.0,2024,99085,86
AK,2158.0,2016,5981,3
AK,2170.0,2015,381446,316
AK,2170.0,2016,360234,297
AK,2170.0,2017,293065,263
AK,2170.0,2018,260391,256
AK,2170.0,2019,228281,248
AK,2170.0,2020,139306,171
AK,2170.0,2021,162889,185
AK,2170.0,2022,91461,203
AK,2170.0,2023,52670,201
AK,2170.0,2024,57006,215
AK,2180.0,2015,59342,38
AK,2180.0,2016,66171,38
AK,2180.0,2017,75097,41
AK,2180.0,2018,77436,44
AK,2180.0,2019,88496,45
AK,2180.0,2020,81991,43
AK,2180.0,2021,91242,46
AK,2180.0,2022,55908,50
AK,2180.0,2023,52858,48
AK,2180.0,2024,52109,42
AK,2185.0,2015,1107,1
AK,2185.0,2016,1160,1
AK,2185.0,2017,1222,1
AK,2185.0,2018,1289,1
AK,2185.0,2019,1368,1
AK,2185.0,2020,1434,1
AK,2185.0,2021,1545,1
AK,2188.0,2015,16989,18
AK,2188.0,2016,16664,18
AK,2188.0,2017,15985,18
AK,2188.0,2018,16949,19
AK,2188.0,2019,17904,20
AK,2188.0,2020,17612,19
AK,2188.0,2021,16363,17
AK,2188.0,2022,28074,19
AK,2188.0,2023,31641,19
AK,2188.0,2024,21947,15
AK,2195.0,2015,7026,16
AK,2195.0,2016,6168,12
AK,2195.0,2017,5372,10
AK,2195.0,2018,7238,12
AK,2195.0,2019,6919,11
AK,2195.0,2020,7105,11
AK,2195.0,2021,3857,7
